,업종명,인허가일자,업소명,소재지(도로명),addr,영업장면적(건물내_외부),업태명,담당부서,데이터기준일자,latitude,longitude
7186,일반음식점,2023-04-26,신도세기 보라매 직영점,"서울특별시 동작구 보라매로5가길 16, 2층 202, 202-3호 (신대방동, 보라매아카데미타워)",서울특별시 동작구 신대방동 395-69 보라매아카데미타워,257.0,한식,보건행정과,2024-08-19,37.491293,126.9240603
7187,일반음식점,2023-04-27,팔당닭발,"서울특별시 동작구 동작대로25길 25, 1,2층 (사당동)",서울특별시 동작구 사당동 145-14,144.0,한식,보건행정과,2024-08-19,37.4858908,126.9808297
7188,일반음식점,2023-04-28,카페 그린꿈,"서울특별시 동작구 동작대로35길 67, 1층 (사당동)",서울특별시 동작구 사당동 67-2,25.0,기타,보건행정과,2024-08-19,37.492368,126.9791375
7189,일반음식점,2023-04-28,육갑식당,"서울특별시 동작구 사당로 178, 1층 (사당동)",서울특별시 동작구 사당동 217-7,99.0,한식,보건행정과,2024-08-19,37.4861008,126.9683387
7190,일반음식점,2023-05-02,누빙,"서울특별시 동작구 현충로 100, 2층 (흑석동)",서울특별시 동작구 흑석동 8-32,57.55,기타,보건행정과,2024-08-19,37.5077235,126.9646119
7191,일반음식점,2023-05-02,대반전 사당점,"서울특별시 동작구 동작대로7길 98, 1층 (사당동)",서울특별시 동작구 사당동 1046-38,97.85,한식,보건행정과,2024-08-19,37.4772516,126.9776033
7192,일반음식점,2023-05-03,동부식당,"서울특별시 동작구 서달로12길 17, 1층 (흑석동)",서울특별시 동작구 흑석동 97-4,50.0,한식,보건행정과,2024-08-19,37.5069463,126.9627837
7193,일반음식점,2023-05-03,찬이푸드,"서울특별시 동작구 성대로 18, 2층 3호 (상도동)",서울특별시 동작구 상도동 314-16,20.0,한식,보건행정과,2024-08-19,37.4996193,126.9325042
7194,일반음식점,2023-05-04,따띠삼겹 노량진점,"서울특별시 동작구 노량진로16길 34, 1층 (노량진동)",서울특별시 동작구 노량진동 119-16,14.72,한식,보건행정과,2024-08-19,37.5121936,126.9439663
7195,일반음식점,2023-05-04,카츠야미,"서울특별시 동작구 사당로27길 19, 1층 (사당동)",서울특별시 동작구 사당동 150-14,18.0,한식,보건행정과,2024-08-19,37.4849629,126.9781641
7196,일반음식점,2023-05-09,고기싸롱 이수역점,"서울특별시 동작구 동작대로27가길 6, 2층 (사당동)",서울특별시 동작구 사당동 139-1,247.1,한식,보건행정과,2024-08-19,37.4873115,126.9809454
7197,일반음식점,2023-05-09,노량진국수,"서울특별시 동작구 노량진로8길 16, 1층 (노량진동)",서울특별시 동작구 노량진동 264-5,30.0,한식,보건행정과,2024-08-19,37.5127011,126.9362152
7198,일반음식점,2023-05-09,플레이플레이트케이터링,"서울특별시 동작구 등용로14길 34, 상가동 1층 101호 (대방동, 신한토탈아파트)",서울특별시 동작구 대방동 41 신한토탈아파트,25.53,한식,보건행정과,2024-08-19,37.5119573,126.9331699
7199,일반음식점,2023-05-09,빈비노,"서울특별시 동작구 남부순환로269길 22, 1층 (사당동)",서울특별시 동작구 사당동 1037-16,25.0,기타,보건행정과,2024-08-19,37.4777192,126.9779529
7200,일반음식점,2023-05-09,한제소곱창전골 신대방삼거리역점,"서울특별시 동작구 여의대방로22길 121, 상가동 1층 1444, 1445호 (신대방동, 보라매자이 더 포레스트)",서울특별시 동작구 신대방동 724 보라매자이 더 포레스트,55.7,한식,보건행정과,2024-08-19,37.4982221,126.9266084
7201,일반음식점,2023-05-09,예나 레스토랑,"서울특별시 동작구 노량진로8길 52, 지하1층 (노량진동)",서울특별시 동작구 노량진동 244-81,80.12,기타,보건행정과,2024-08-19,37.5122669,126.9380732
7202,일반음식점,2023-05-09,따뜻한밥상 숭실대점,"서울특별시 동작구 상도로62길 37, 2층 (상도동)",서울특별시 동작구 상도동 492-13,93.0,한식,보건행정과,2024-08-19,37.4958907,126.9533031
7203,일반음식점,2023-05-10,피자먹다 이수점,"서울특별시 동작구 동작대로39길 22, 209동 1층 102호 (동작동, 이수힐스테이트)",서울특별시 동작구 동작동 333 이수힐스테이트,21.56,기타,보건행정과,2024-08-19,37.4947311,126.9799965
